,Start,End,Duration,# Trades,# Different Stocks,Win Rate [%],Avg. Trade [%],Median Trade [%],Avg. Win [%],Median Win [%],Avg. Loss [%],Median Loss [%],Total Return [%],Stock
486,2010-01-07,2020-12-23,4003 days,173,1,36.41618497109826,0.23895953757225444,-1.06,5.313650793650792,4.34,-2.667454545454546,-2.0599999999999996,41.339999999999996,HUM
771,2010-01-21,2020-12-22,3988 days,158,1,41.139240506329116,0.2606329113924051,-1.49,6.079999999999999,5.42,-3.8066666666666675,-2.95,41.180000000000014,OSK
861,2010-01-05,2020-12-23,4005 days,175,1,39.42857142857143,0.23531428571428584,-1.0,4.417826086956522,4.0,-2.4872641509433966,-1.92,41.18,RMD
174,2010-01-05,2020-12-17,3999 days,171,1,40.35087719298245,0.24046783625731005,-0.83,3.9420289855072457,3.4,-2.2635294117647056,-2.045,41.120000000000005,CERN
521,2010-01-05,2020-12-04,3986 days,176,1,34.659090909090914,0.23215909090909073,-2.7199999999999998,15.066229508196718,9.67,-7.703333333333336,-6.175000000000001,40.86,IO
263,2010-01-04,2020-11-10,3963 days,173,1,40.46242774566474,0.23589595375722544,-0.97,4.408857142857144,3.495,-2.6000970873786406,-2.04,40.809999999999995,CVA
93,2010-01-21,2020-12-17,3983 days,161,1,39.130434782608695,0.2529813664596272,-0.93,3.9984126984126984,3.63,-2.1547959183673466,-1.885,40.72999999999999,AWR
122,2010-01-19,2020-12-15,3983 days,153,1,37.254901960784316,0.26516339869281036,-1.19,5.418245614035087,4.49,-2.823894736842106,-2.14,40.57000000000001,BHE
1105,2010-01-08,2020-12-23,4002 days,173,1,35.83815028901734,0.23404624277456654,-2.45,10.055483870967743,9.645,-5.251801801801802,-4.38,40.489999999999995,X
563,2010-01-07,2020-11-13,3963 days,179,1,39.10614525139665,0.22575418994413401,-0.85,3.121857142857143,2.65,-1.6341284403669727,-1.34,40.410000000000004,KMB
446,2010-01-13,2020-11-24,3968 days,158,1,36.708860759493675,0.25462025316455683,-1.08,5.366724137931034,4.29,-2.710400000000001,-2.105,40.230000000000004,H
1084,2010-01-05,2020-12-22,4004 days,167,1,35.32934131736527,0.24011976047904202,-1.23,5.308813559322035,4.53,-2.5288888888888894,-1.9449999999999998,40.09999999999999,WFC
45,2010-01-22,2020-11-24,3959 days,165,1,41.21212121212121,0.24181818181818182,-1.19,5.201029411764708,4.555,-3.2347422680412365,-2.53,39.90000000000001,ALEX
1088,2010-01-20,2020-12-10,3977 days,182,1,35.714285714285715,0.21769230769230777,-2.075,7.389538461538462,7.01,-3.766666666666668,-3.2,39.62000000000001,WLK
6,2010-01-13,2020-11-10,3954 days,186,1,36.55913978494624,0.21247311827956988,-1.025,4.350882352941176,3.96,-2.172372881355932,-1.955,39.51999999999999,ABC
96,2010-01-07,2020-12-31,4011 days,175,1,37.142857142857146,0.22537142857142864,-0.96,4.621846153846155,3.64,-2.3725454545454547,-1.66,39.44,AXP
306,2010-01-07,2020-12-29,4009 days,180,1,41.11111111111111,0.2185000000000001,-0.905,4.725135135135136,4.275,-2.9276415094339625,-2.615,39.330000000000005,DPZ
198,2010-01-20,2020-12-04,3971 days,178,1,36.51685393258427,0.21994382022471906,-2.275,8.249538461538462,6.65,-4.398849557522124,-3.54,39.14999999999999,CLR
1009,2010-01-15,2020-10-12,3923 days,174,1,36.7816091954023,0.22482758620689652,-1.73,6.512656250000001,5.375,-3.529813084112148,-3.24,39.11999999999999,TTMI
44,2010-01-21,2020-12-21,3987 days,173,1,42.77456647398844,0.22589595375722538,-0.76,2.9579729729729722,2.75,-1.8162626262626262,-1.48,39.080000000000005,ALE
87,2010-01-22,2020-12-18,3983 days,167,1,39.52095808383233,0.23371257485029928,-1.18,4.634848484848485,3.98,-2.6687000000000007,-2.165,39.029999999999994,ATVI
947,2010-01-04,2020-12-11,3994 days,165,1,38.18181818181819,0.23478787878787868,-1.77,7.281269841269841,6.53,-4.117450980392156,-3.705,38.73999999999999,SWKS
353,2010-01-07,2020-12-28,4008 days,189,1,38.62433862433862,0.2046031746031745,-1.37,4.933013698630138,4.31,-2.771034482758621,-2.185,38.66999999999998,EW
888,2010-02-04,2020-12-18,3970 days,182,1,38.46153846153847,0.21208791208791225,-1.31,4.855571428571429,3.8600000000000003,-2.690089285714285,-2.185,38.59999999999999,SCHL
252,2010-01-28,2020-12-18,3977 days,183,1,38.79781420765027,0.2093442622950819,-2.05,7.924929577464791,6.79,-4.6817857142857155,-3.71,38.31,CSII
57,2010-01-21,2020-12-16,3982 days,171,1,38.01169590643275,0.22350877192982446,-1.39,5.485999999999999,5.02,-3.0034905660377347,-2.39,38.22000000000001,AMG
710,2010-01-22,2020-11-06,3941 days,166,1,34.93975903614458,0.2296385542168675,-1.02,4.831379310344828,4.285,-2.2416666666666676,-1.84,38.120000000000005,NFG
208,2010-01-06,2020-12-23,4004 days,178,1,37.07865168539326,0.21393258426966308,-1.3250000000000002,5.16560606060606,4.529999999999999,-2.704017857142858,-2.215,38.08,CMI
720,2010-01-05,2020-11-16,3968 days,175,1,37.714285714285715,0.21731428571428568,-1.81,6.576060606060608,5.705,-3.632935779816514,-2.87,38.030000000000015,NOV
744,2010-01-15,2020-11-13,3955 days,170,1,38.23529411764706,0.22352941176470564,-1.405,5.805076923076924,5.47,-3.231714285714286,-2.81,37.999999999999986,OC
800,2010-01-06,2020-11-30,3981 days,172,1,37.7906976744186,0.22011627906976736,-1.43,5.3966153846153855,4.8,-2.9520754716981132,-2.46,37.85999999999999,PICO
321,2010-01-11,2020-11-27,3973 days,169,1,39.053254437869825,0.22218934911242605,-0.74,3.4672727272727286,3.205,-1.857184466019418,-1.57,37.55,ECL
892,2010-01-22,2020-11-16,3951 days,161,1,36.64596273291926,0.23142857142857137,-1.27,5.36593220338983,4.18,-2.7385294117647057,-2.2,37.26000000000002,SCL
615,2010-01-06,2020-11-10,3961 days,172,1,36.627906976744185,0.21604651162790692,-1.365,5.735555555555557,4.89,-3.0297196261682253,-2.35,37.15999999999998,LYV
868,2010-01-05,2020-11-16,3968 days,176,1,38.06818181818182,0.21022727272727285,-0.9550000000000001,3.6097014925373148,3.41,-1.8967592592592593,-1.53,37.0,ROP
497,2010-01-20,2020-11-24,3961 days,177,1,39.548022598870055,0.20870056497175143,-1.32,5.451857142857144,4.41,-3.2214018691588797,-2.48,36.940000000000005,IBOC
860,2010-01-19,2020-12-31,3999 days,170,1,39.411764705882355,0.21647058823529422,-1.395,6.923880597014924,6.43,-4.146601941747572,-3.07,36.8,RLH
143,2010-01-14,2020-12-17,3990 days,177,1,40.67796610169492,0.2070621468926554,-1.05,4.298194444444444,3.67,-2.5982857142857148,-2.09,36.650000000000006,BSX
550,2010-01-26,2020-11-11,3942 days,158,1,39.24050632911392,0.23031645569620254,-0.63,3.2482258064516136,2.5650000000000004,-1.7368421052631582,-1.4,36.38999999999999,K
385,2010-01-05,2020-12-22,4004 days,167,1,38.32335329341318,0.21748502994011967,-0.92,3.8623437499999995,3.225,-2.047281553398058,-1.6,36.32000000000001,FIS
838,2010-01-06,2020-11-16,3967 days,173,1,36.99421965317919,0.2097687861271675,-1.52,5.834218750000001,4.195,-3.092660550458716,-2.67,36.290000000000006,R
1103,2010-02-25,2020-12-01,3932 days,187,1,35.294117647058826,0.19347593582887712,-1.63,6.330454545454543,5.12,-3.1802500000000005,-2.645,36.18000000000001,WWE
1072,2010-01-21,2020-11-16,3952 days,169,1,42.01183431952663,0.21402366863905326,-0.94,3.8078873239436613,3.55,-2.389693877551021,-1.795,36.17,WABC
1005,2010-01-21,2020-12-29,3995 days,175,1,38.857142857142854,0.20531428571428556,-1.46,5.356911764705884,4.795,-3.0685981308411217,-2.43,35.93,TTEC
660,2010-01-05,2020-12-21,4003 days,168,1,41.07142857142857,0.21083333333333326,-0.775,3.2378260869565216,2.92,-1.8988888888888886,-1.38,35.419999999999995,MMC
1013,2010-01-08,2020-12-14,3993 days,164,1,38.41463414634146,0.21579268292682918,-1.125,4.283492063492063,3.96,-2.321485148514851,-2.13,35.389999999999986,TXN
269,2010-01-07,2020-12-14,3994 days,173,1,39.884393063583815,0.203757225433526,-0.95,3.9001449275362328,3.2,-2.248653846153846,-1.955,35.25,CVS
106,2010-01-07,2020-12-11,3991 days,185,1,37.83783783783784,0.1901621621621622,-2.14,9.07114285714286,7.905,-5.2156521739130435,-3.75,35.18000000000003,BBW
876,2010-01-08,2020-12-14,3993 days,167,1,38.92215568862276,0.2092215568862273,-1.37,4.832461538461539,4.89,-2.736960784313726,-2.4699999999999998,34.93999999999999,SAFM
465,2010-01-05,2020-12-14,3996 days,169,1,39.053254437869825,0.2030177514792899,-1.24,4.812424242424242,3.7,-2.750582524271844,-2.11,34.31,HIG
65,2010-01-07,2020-12-04,3984 days,174,1,39.6551724137931,0.1963218390804595,-1.2650000000000001,5.091159420289857,4.72,-3.0202857142857154,-2.46,34.15999999999999,AN
100,2010-01-26,2020-11-10,3941 days,171,1,35.08771929824561,0.1992982456140351,-1.52,5.645666666666667,4.875,-2.7446846846846844,-2.43,34.08000000000001,B
920,2010-01-28,2020-11-24,3953 days,179,1,37.988826815642454,0.1903351955307263,-1.06,4.432058823529412,3.645,-2.408198198198197,-2.01,34.06999999999999,SNA
1063,2010-01-22,2020-12-17,3982 days,182,1,38.46153846153847,0.18604395604395596,-1.145,4.3925714285714275,3.56,-2.443035714285714,-2.085,33.85999999999999,VRSN
823,2010-01-22,2020-12-17,3982 days,173,1,38.72832369942196,0.194393063583815,-1.22,5.351044776119405,4.25,-3.0649999999999995,-2.34,33.629999999999995,PRGS
1014,2010-02-16,2020-12-29,3969 days,170,1,40.0,0.1971764705882354,-1.08,4.771323529411767,4.275,-2.8522549019607846,-2.215,33.52000000000002,TXRH
472,2010-02-01,2020-12-11,3966 days,176,1,36.36363636363637,0.18965909090909114,-1.3399999999999999,5.2643749999999985,4.4,-2.7101785714285715,-2.2,33.38,HOMB
587,2010-01-22,2020-12-29,3994 days,169,1,40.23668639053255,0.19668639053254447,-0.92,3.6567647058823525,2.91,-2.1328712871287134,-1.54,33.239999999999995,LH
62,2010-01-21,2020-11-20,3956 days,166,1,37.95180722891566,0.19903614457831317,-1.29,5.324920634920636,4.39,-2.9649999999999994,-2.4699999999999998,33.04000000000001,AMSWA
918,2010-01-19,2020-12-17,3985 days,183,1,36.6120218579235,0.18016393442622958,-1.42,6.179402985074628,5.63,-3.313478260869567,-2.61,32.97,SMP
1093,2010-02-04,2020-11-23,3945 days,173,1,38.72832369942196,0.18554913294797673,-0.88,3.21865671641791,2.48,-1.7316037735849061,-1.32,32.1,WRB
728,2010-01-19,2020-12-14,3982 days,164,1,35.97560975609756,0.19567073170731705,-1.625,6.10237288135593,5.42,-3.1533653846153844,-2.72,32.09000000000002,NTCT
946,2010-01-06,2020-12-17,3998 days,163,1,39.263803680981596,0.1968711656441719,-0.84,4.335781250000002,3.365,-2.478787878787879,-2.07,32.09,SWK
1097,2010-01-07,2020-12-10,3990 days,179,1,39.10614525139665,0.179050279329609,-1.38,5.974285714285715,5.175000000000001,-3.542660550458715,-2.37,32.05,WSM
985,2010-01-07,2020-11-24,3974 days,171,1,38.59649122807017,0.1867251461988302,-1.04,3.8419696969696977,3.295,-2.110857142857142,-1.52,31.929999999999996,TJX
558,2010-01-22,2020-11-16,3951 days,173,1,36.99421965317919,0.18433526011560702,-1.3,5.523749999999999,4.755,-2.950733944954127,-2.49,31.889999999999986,KEX
85,2010-01-29,2020-12-24,3982 days,170,1,37.05882352941177,0.1868823529411765,-0.99,3.413015873015873,3.02,-1.7126168224299056,-1.39,31.770000000000007,ATR
220,2010-01-22,2020-11-12,3947 days,171,1,35.08771929824561,0.18520467836257307,-1.76,6.4285000000000005,5.12,-3.189549549549551,-2.54,31.669999999999973,COHR
361,2010-01-04,2020-12-28,4011 days,175,1,37.142857142857146,0.17982857142857137,-1.12,4.5976923076923075,4.02,-2.430727272727272,-2.3499999999999996,31.46999999999999,EXPO
890,2010-01-04,2020-11-17,3970 days,176,1,38.06818181818182,0.17625000000000005,-1.65,5.590298507462689,4.69,-3.180833333333332,-2.95,31.019999999999996,SCHW
285,2010-01-11,2020-11-23,3969 days,162,1,35.18518518518518,0.19135802469135796,-1.2,5.09736842105263,4.41,-2.4719047619047627,-1.95,31.0,DE
983,2010-01-07,2020-12-01,3981 days,170,1,34.11764705882353,0.18194117647058777,-2.045,8.98793103448276,6.785,-4.378303571428573,-3.275,30.930000000000035,TISI
927,2010-01-04,2020-12-03,3986 days,174,1,35.63218390804598,0.17701149425287374,-1.5,6.882258064516127,5.25,-3.5348214285714303,-2.62,30.80000000000002,SPR
282,2010-02-04,2020-11-20,3942 days,186,1,36.55913978494624,0.16510752688172048,-2.25,8.185147058823528,7.01,-4.456610169491526,-4.135,30.710000000000004,DCO
356,2010-01-22,2020-10-20,3924 days,163,1,37.423312883435585,0.18687116564417167,-0.99,3.879672131147541,3.5,-2.0215686274509808,-1.795,30.45999999999999,EXC
11,2010-01-07,2020-11-18,3968 days,170,1,39.411764705882355,0.17876470588235302,-0.855,3.4192537313432836,2.92,-1.9291262135922334,-1.56,30.389999999999997,ABT
