,Start,End,Duration,# Trades,# Different Stocks,Win Rate [%],Avg. Trade [%],Median Trade [%],Avg. Win [%],Median Win [%],Avg. Loss [%],Median Loss [%],Total Return [%],Stock
358,2010-01-04,2020-09-15,3907 days,342,1,35.08771929824561,-0.8738596491228066,-2.625,6.763833333333336,4.175,-5.002342342342342,-4.550000000000001,-298.86,EXLS
311,2010-01-22,2020-11-30,3965 days,385,1,35.58441558441559,-0.7791428571428577,-1.25,3.3032116788321177,2.32,-3.0343145161290326,-2.5549999999999997,-299.97,DTE
383,2010-01-26,2020-12-17,3978 days,359,1,28.133704735376046,-0.8382451253481893,-3.11,9.820891089108915,4.9,-5.030505836575877,-4.26,-300.92999999999995,FHN
908,2010-01-04,2020-10-28,3950 days,352,1,33.80681818181818,-0.8623863636363638,-2.495,7.323361344537816,4.39,-5.064827586206895,-4.34,-303.55999999999995,SIRI
999,2010-01-04,2020-11-16,3969 days,410,1,32.6829268292683,-0.7432926829268294,-2.13,6.134104477611939,3.9050000000000002,-4.082318840579713,-3.635,-304.75,TROW
131,2010-01-22,2020-11-23,3958 days,383,1,34.46475195822455,-0.7972584856396867,-2.93,8.21318181818182,5.54,-5.535816733067726,-5.09,-305.35,BLKB
950,2010-02-04,2020-11-30,3952 days,395,1,34.177215189873415,-0.78526582278481,-1.85,4.85111111111111,3.76,-3.711846153846151,-3.2800000000000002,-310.18,SWX
730,2010-01-20,2020-12-10,3977 days,394,1,30.20304568527919,-0.7884517766497459,-2.225,6.882100840336137,4.77,-4.107709090909091,-3.72,-310.65000000000003,NTRS
269,2010-01-04,2020-12-22,4005 days,432,1,37.03703703703704,-0.7194675925925927,-1.915,4.769187500000002,3.915,-3.9480882352941182,-3.61,-310.81,CVS
186,2010-02-03,2020-10-19,3911 days,352,1,34.659090909090914,-0.8836363636363629,-2.0700000000000003,5.743852459016394,3.525,-4.41829694323144,-3.74,-311.03999999999996,CHRW
124,2010-01-08,2020-12-04,3983 days,402,1,31.343283582089555,-0.7739800995024877,-3.025,11.499523809523804,6.805,-6.377101449275361,-5.125,-311.14,BIG
996,2010-01-20,2020-11-05,3942 days,427,1,35.831381733021075,-0.7299765807962527,-2.56,7.079607843137257,4.52,-5.109450549450544,-4.37,-311.69999999999993,TRMB
392,2010-01-05,2020-12-14,3996 days,335,1,32.537313432835816,-0.9344179104477609,-2.06,5.670458715596331,3.78,-4.119955752212389,-3.49,-313.03,FLO
174,2010-01-05,2020-12-16,3998 days,350,1,35.42857142857142,-0.8987714285714278,-2.0599999999999996,5.068467741935485,3.605,-4.17283185840708,-3.7649999999999997,-314.57000000000005,CERN
